Código,Nome,Período,Duração,Dependências
CEA038,QUIMICA GERAL,1,1,
CEA039,QUIMICA GERAL EXPERIMENTAL,1,1,
CEA049,GEOMETRIA ANALITICA E ALGEBRA LINEAR,1,1,
CEA050,CALCULO DIFERENCIAL E INTEGRAL I,1,1,
CSI030,PROGRAMACAO DE COMPUTADORES I,1,1,
ENP100,INTRODUCAO A ENGENHARIA DE PRODUCAO,1,1,
ENP101,INTRODUCAO A METODOLOGIA DA PESQUISA,1,1,
CEA051,CALCULO DIFERENCIAL E INTEGRAL II,2,1,CEA049;CEA050
CEA061,FISICA I ,2,1,CEA049;CEA050
CSI428,ALGORITMOS E ESTRUTURA DE DADOS I,2,1,CSI030
ENP004,EXPRESSAO GRAFICA,2,1,
ENP152,ETICA E RESPONSABILIDADE SOCIOAMBIENTAL,2,1,
CEA052,CALCULO DIFERENCIAL E INTEGRAL III,3,1,CEA051
CEA053,PROBABILIDADE,3,1,CEA051
CEA056,INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS,3,1,CEA051
CEA062,FISICA II,3,1,CEA038;CEA039;CEA051;CEA061
ENP151,CIENCIA TECNOLOGIA E SOCIEDADE,3,1,
CEA054,ESTATISTICA I,4,1,CEA053
CEA058,CALCULO NUMERICO,4,1,CEA056;CEA062;CSI030
CEA063,FISICA III,4,1,CEA038;CEA039;CEA051;CEA061;CEA053;CEA061
ENP005,ERGONOMIA,4,1,
ENP153,PROGRAMACAO LINEAR,4,1,CEA049;CSI030;CSI428
ENP014,ORGANIZACAO DO TRABALHO ,5,1,ENP005
ENP015,MICROECONOMIA ,5,1,CEA052;CEA054
ENP017,TEORIA DAS ORGANIZACOES,5,1,ENP005
ENP157,ESTATISTICA II ,5,1,CEA053;CEA054
ENP160,OTIMIZACAO COMBINATORIA,5,1,ENP153
CEA067,PRINCIPIOS DE CIENCIAS DE MATERIAIS,6,1,CEA038;CEA039
ENP019,PSICOLOGIA DO TRABALHO,6,1,ENP014
ENP022,GESTAO DA QUALIDADE ,6,1,CEA054
ENP154,PLANEJAMENTO ESTRATEGICO E MERCADOLOGICO,6,1,ENP015;
ENP155,CUSTOS INDUSTRIAIS,6,1,
ENP023,ENGENHARIA ECONOMICA,7,1,CEA053;CEA054;ENP015;ENP155
ENP025,GESTAO DO CONHECIMENTO ,7,1,ENP017;ENP154
ENP122,PLANEJAMENTO E CONTROLE DE PRODUCAO I ,7,1,
ENP141,CONTROLE ESTATISTICO DE QUALIDADE,7,1,ENP022
ENP701,ENGENHARIA DE PROCESSOS MECANICOS ,7,1,CEA067
ENP119,LOGISTICA ,8,1,
ENP123,PLANEJAMENTO E CONTROLE DE PRODUCAO II ,8,1,ENP122
ENP159,SISTEMA DE DESENVOLVIMENTO DE PRODUTO,8,1,ENP004;ENP023;ENP157
ENP534,GESTAO DE PROJETOS,8,1,ENP017;ENP122;ENP154
ATV029,ELABORACAO DE PROJETO DE MONOGRAFIA,9,1,
CSI009,FUNDAMENTOS DE SISTEMAS DE INFORMACAO,9,1,
ENP028,GESTAO DA CADEIA DE SUPRIMENTOS,9,1,ENP119
ENP158,MODELAGEM DE SISTEMAS PRODUTIVOS E LOGISTICOS I,9,1,CEA054;ENP119;ENP122;ENP160
ENP029,GESTAO AMBIENTAL,10,1,
ENP156,GESTAO DE SERVICOS,10,1,ENP014;ENP017;ENP154
ENP161,SIMULACAO A EVENTOS DISCRETOS,10,1,CEA053;CSI428;ENP160
